,Mycontrast.logFC,Mycontrast.AveExpr,Mycontrast.t,Mycontrast.P.Value,Mycontrast.adj.P.Val,Mycontrast.B
SKA3,3.15278823865657,1.28344909756614,19.1506991437567,2.03359042718672e-43,4.62501574569311e-41,88.2262464348492
KIF15,2.62614878057537,1.90728404244184,19.1135791714089,2.52911230541382e-43,5.65395548903544e-41,88.036884993202
CDCA5,2.75797655974877,2.86868553147789,19.1107356050128,2.57173322221307e-43,5.65395548903544e-41,88.0057676303175
BIRC5,3.75883504308041,2.91982403015348,18.9279935992991,7.54283294648746e-43,1.63110671142813e-40,86.9257437872463
PTTG1,3.03764869472081,2.59940857618038,18.8727096630025,1.04531989641827e-42,2.22400237962151e-40,86.6194114688361
CENPM,3.26464457137451,1.22714809759664,18.8070725984572,1.54066694304044e-42,3.22586311835657e-40,86.2056686490151
STIL,2.22476702393928,2.77375310223275,18.7857150295683,1.7481216734784e-42,3.60304265544587e-40,86.1092432667877
KIF20A,3.60930686028513,2.70295463166321,18.7288219860405,2.44811717984475e-42,4.89289601808061e-40,85.7579174952332
RAD54L,2.90865081523666,1.03240687470797,18.7311455933861,2.41465677971629e-42,4.89289601808061e-40,85.7380785532548
KIF2C,3.1552239315068,2.64959010113566,18.6849646054177,3.1746397230117e-42,6.2502496397384e-40,85.5057581789119
UHRF1,3.61905514324577,2.25255301558967,18.5996311184201,5.26712898609964e-42,1.02174556552412e-39,85.0042058837113
MMP11,5.67874570815651,5.14531687598059,18.5895545256413,5.59194659032194e-42,1.06903431120198e-39,84.9286254732174
ESCO2,3.59200019684672,1.09515873136915,18.5709380761966,6.24584659931089e-42,1.17698517845014e-39,84.8216406740716
SPC24,2.84415078310298,1.86638107898317,18.5268916829541,8.11514713900795e-42,1.50770290015005e-39,84.5861947572148
CCNE2,2.6882240842004,1.69419878582193,18.5065306866905,9.15991457467985e-42,1.6781726827028e-39,84.4667026077975
CCNB2,2.88112736558905,2.70398374668956,18.474819258375,1.10623671074723e-41,1.9989545823927e-39,84.2641471422314
MCM10,2.88232876198287,1.57889452457201,18.4443401350274,1.32638022621413e-41,2.36158376260613e-39,84.0995933839914
CDC45,2.9439364073447,1.46836418159351,18.4422840267584,1.34272444996937e-41,2.36158376260613e-39,84.0859968678948
C1orf112,1.68151705193778,2.99130132532059,18.4161334204122,1.56911032360637e-41,2.72343872088048e-39,83.9243790795232
AURKB,3.27961694148803,1.47082635793769,18.3866784581263,1.87030225910414e-41,3.20404637660295e-39,83.7490090503831
FAM126A,-2.41356591851637,5.1397443679176,-18.2787303120361,3.56255739598212e-41,6.024832642359e-39,83.0782808854364
RMI1,1.53803347376912,3.80256229468423,18.2687327846138,3.78189644844903e-41,6.31480962677104e-39,83.0024767346327
ZWINT,2.66255126241818,3.89548601604315,18.1919970945453,5.98463567325681e-41,9.86791614574132e-39,82.5256005826185
EGFR,-3.66686230297266,6.39636228280913,-18.1717630818315,6.75532948346375e-41,1.10011791625149e-38,82.4396334317134
DMD,-3.88275656600433,5.32226073817182,-18.0878579539376,1.11691278322371e-40,1.79673128335415e-38,81.9700463437579
CDCA3,2.62689087667772,2.07359615130687,18.0711635476616,1.23455408888778e-40,1.96204855259262e-38,81.8817083932733
ADAMTS5,-3.48805577199501,5.29947069787847,-17.8895537940558,3.67717485778988e-40,5.6401876219891e-38,80.780095564305
CENPE,2.66737951695564,2.73198380772275,17.8895887279825,3.67640161285555e-40,5.6401876219891e-38,80.7797396126016
OIP5,2.75897732125201,0.230371725480774,17.9039692050881,3.37155735336148e-40,5.29454917240373e-38,80.6467451582202
CCNB1,2.62922221323897,4.11618769208575,17.7990255426322,6.34452240239572e-40,9.6196086218393e-38,80.1659047229424
CENPK,2.60893811100346,1.31741818628886,17.7222807313096,1.00815875508019e-39,1.51120706116623e-37,79.7568746176611
CENPA,2.98572584461661,0.795290780212003,17.6696496878957,1.38556594711384e-39,2.05359555150323e-37,79.4581672004196
WISP1,3.92205690378151,2.14801698943592,17.6547876809101,1.51582027509846e-39,2.2216872498693e-37,79.3753034897971
FOXM1,3.2371806969028,3.24750644008805,17.5715757939179,2.50794611197624e-39,3.63541946847017e-37,78.8208189011363
SPAG5,2.59939769895858,3.47905110480621,17.5509817939207,2.84110857721511e-39,4.07359383065701e-37,78.703173570255
KIFC1,2.77353228180906,3.22480041369796,17.5377048356593,3.07908541291129e-39,4.36733501953902e-37,78.6180899681434
SFRP1,-6.2951387976761,7.86204244993503,-17.5026172176843,3.80875947739925e-39,5.3448240708908e-37,78.4307908677094
MME,-3.93537105178227,6.28965011264062,-17.3990029891729,7.14282366992674e-39,9.91799863473723e-37,77.7899830796388
KIF24,2.09310478917938,2.4708421155781,17.3571826034077,9.20948685537248e-39,1.26544105322102e-36,77.5860082326098
RAD51,2.55526297669599,1.67162797544573,17.3033859828759,1.27740085615969e-38,1.73713347356726e-36,77.265765510391
CDCA2,3.14178391544966,1.27284711264442,17.2745868430157,1.52212121083417e-38,2.02811120122359e-36,77.092480867018
PRC1,2.55542594950728,4.25861804743262,17.2774679427623,1.49565752819888e-38,2.01318555657872e-36,77.0095683083038
TINAGL1,-2.84201010234935,6.35639061986079,-17.2673490708351,1.59069247535614e-38,2.09828244424229e-36,76.9572411552123
DNA2,1.89717079999278,2.31000275267287,17.2360467690754,1.92477033674633e-38,2.51382628831889e-36,76.8581990917182
PRR19,2.36567800473489,0.841597581321136,17.2189055282235,2.13666145172349e-38,2.76320600094947e-36,76.6749418674148
ESPL1,2.92817042228879,2.50022710140317,17.2021256058617,2.36673488317963e-38,3.03102911107015e-36,76.6221882938411
SCN4B,-2.953540089466,4.4967702085707,-17.0410839213225,6.32500305698968e-38,8.0224149350722e-36,75.6404522978265
E2F8,3.94707388880404,0.332092077486891,16.9733395553196,9.57194076199683e-38,1.20250924372857e-35,75.24350644044
BRIP1,2.39220778809713,2.14539203895212,16.9266006482649,1.27428444573024e-37,1.58576284185166e-35,74.9795358955762
CCNA2,2.72340501740297,2.70122062117901,16.8729280267728,1.77047001982984e-37,2.18264205902574e-35,74.6200230608898
INHBA,3.4912970878751,4.25587102295016,16.8325774107804,2.26749186372129e-37,2.76948936799514e-35,74.2902972367279
CENPI,2.46378408208395,1.21424318598455,16.7003892733054,5.10597399540869e-37,6.12299117940328e-35,73.5997990007519
ZNF695,3.39144808025782,-1.02834747425381,16.708738579474,4.85052886248028e-37,5.87002992889701e-35,73.4500962898723
CENPF,3.32567237170061,4.71790721424129,16.6905642417906,5.42389953380318e-37,6.44564493246826e-35,73.4337761081606
FAM49A,-2.10274793434048,4.43962472635018,-16.5986427775414,9.54876583032474e-37,1.12462294703405e-34,72.9407213852552
KIF18A,2.54023792552688,1.56697332837411,16.5328709688473,1.43195314992501e-36,1.65692052637376e-34,72.5845545769024
FLVCR1,1.78183049795579,3.9656106340273,16.533286387054,1.4282910607699e-36,1.65692052637376e-34,72.49289476481
ZMYND10,3.34116500267435,2.37856012752058,16.4408618923198,2.52593302499419e-36,2.89735500284334e-34,71.9845941186006
MATN3,3.40238043479632,2.96650908638306,16.4117895821564,3.02260438945183e-36,3.43717021562578e-34,71.7758761841646
CDC20,2.91518718903209,3.19262734244016,16.3876884269199,3.50781944651484e-36,3.95484156572456e-34,71.6042871397937
TRIM59,2.35953044260973,2.63529211134903,16.3281672861202,5.06778408673091e-36,5.66518134644639e-34,71.3161030446415
CST2,6.34427681005343,-2.20122671882921,16.2867953835836,6.54583778755249e-36,7.25597867694159e-34,70.772859215159
GSN,-3.1453571120377,10.0806016876021,-16.2409230006292,8.69532233112478e-36,9.47933858428652e-34,70.7235675274063
FANCI,1.97051717995762,4.36534811689373,16.2450661517266,8.47508267913059e-36,9.3162346350343e-34,70.6788892555818
LIMS2,-2.87614724613707,5.91446190904231,-16.1483663842273,1.54301855986272e-35,1.66835719861878e-33,70.1393224880012
HELLS,2.01896318571082,3.1152850516118,16.1249263620417,1.78446215660466e-35,1.91372685429041e-33,70.0040007873136
RAD51AP1,2.29424878892341,2.22051505943708,16.1094822993684,1.96389535423941e-35,2.08917287240097e-33,69.952854804678
ANXA1,-3.10474074433747,8.24322084636246,-16.0780323422975,2.38717179789526e-35,2.51913465488291e-33,69.6702132175606
POLR3K,1.86558866969207,3.99991721614469,16.0207318364178,3.40740687480348e-35,3.56723048297878e-33,69.3397848879793
RACGAP1,1.99321420761951,4.54137802507749,15.9695425911103,4.68373216249576e-35,4.8648118862584e-33,68.965412093616
SALL4,3.05298616417328,-0.518218607095784,15.916670720348,6.50743225214622e-35,6.7062139717235e-33,68.6959069672517
RIBC2,2.56268804508597,0.662873435533205,15.8720688811016,8.5895956956619e-35,8.78336099391288e-33,68.4870414206663
KLHL29,-3.44905346980646,3.56845843957773,-15.8512544767634,9.77827698147495e-35,9.92194243558739e-33,68.3859321811578
INTS7,1.43838205025216,4.97592198664937,15.8413190698875,1.04024851747347e-34,1.04747467129714e-32,68.159761559719
SYNM,-4.85247921421232,6.98512374131917,-15.8075738409138,1.28364351798066e-34,1.28276830649113e-32,68.0234672975186
MYBL2,3.37049454567687,3.39161344317232,15.8051131085259,1.30347991532353e-34,1.2927972603784e-32,67.9870623458596
POLE2,1.7976922625221,1.72087667654741,15.6951662457312,2.58765500823765e-34,2.50433654545752e-32,67.4277943571354
LMOD1,-3.07548175336324,5.97613431634004,-15.7113955185864,2.33840218797765e-34,2.30193009415023e-32,67.4156911560767
FAM111B,3.30086755630514,2.59749015023696,15.704012009522,2.44866827880192e-34,2.39262098264267e-32,67.4066213815241
KCNH1,4.16958977889431,-0.900710626487084,15.694343881887,2.60097116767251e-34,2.50433654545752e-32,67.3907103411268
CKS2,2.49767392973977,3.37102017132401,15.688027576979,2.70556419622983e-34,2.58616647191795e-32,67.2772794523936
RGMA,-3.30605744554469,5.21128850998493,-15.6683044109219,3.06008260220049e-34,2.90399637450552e-32,67.2007132308895
CRYAB,-4.83434095178628,6.98262375496669,-15.6614300076354,3.19429535258878e-34,3.0097107139999e-32,67.1486887644333
MND1,2.98362016061123,0.131353203467468,15.6023768639496,4.61940878077152e-34,4.32160434235157e-32,66.7590910727583
ESM1,3.32550990033891,1.40122812965623,15.5526449335061,6.303883312808e-34,5.85595244924298e-32,66.5436894553375
FMO2,-4.72891175768194,5.53996773523489,-15.5229819217169,7.58901886603116e-34,7.00047187844874e-32,66.3341888478245
C9orf116,2.51475800523808,2.24718409224984,15.4594060869975,1.12977275069106e-33,1.02074194207985e-31,65.9639399562858
CENPL,1.48698539585417,2.82919541566344,15.4625633248951,1.10765882637881e-33,1.00766397094917e-31,65.9464915509698
CAV1,-3.58802665904527,7.87416345151429,-15.483181128138,9.73534377200854e-34,8.91798053448366e-32,65.9443809769033
LTBP4,-2.58576186229864,7.23148297358544,-15.4567804351167,1.1484999276814e-33,1.0306028942888e-31,65.7627639298745
XRCC2,2.17706552459896,1.7485076220653,15.4153630087838,1.48863644955883e-33,1.31789284604903e-31,65.6920274769494
HAGHL,3.26820077669644,2.05299627575133,15.4069793115766,1.5689174918829e-33,1.37970604236182e-31,65.6395932450005
RPLP0P2,3.20734539247426,0.546246308250812,15.4203948405555,1.44244269268193e-33,1.28562578102482e-31,65.6337297852608
WDR62,2.64951894725835,2.06703219491282,15.3750089554043,1.91695427338268e-33,1.67460555100602e-31,65.4048016218785
CCDC82,-1.87092568579313,4.18572772820166,-15.3583213255394,2.12835229065194e-33,1.84704572802564e-31,65.311862398663
E2F1,2.08032377321393,3.15989041841664,15.2986200091571,3.09498011252859e-33,2.66835834407612e-31,64.8420584038933
WDHD1,1.47975061740782,3.41605700560499,15.2651338390097,3.81874588307585e-33,3.27097902231517e-31,64.6473807550699
C3orf67,2.69651067563739,0.93256632932728,15.2373040245631,4.54775170202282e-33,3.87028340008922e-31,64.5820441691701
ECT2,2.06920487466029,4.79726999485854,15.2208577772712,5.04253002629794e-33,4.26384702416001e-31,64.289600721644
PAQR4,2.56759485707365,4.37267555817603,15.2000491344263,5.74658985441155e-33,4.82823355220017e-31,64.1624735841893
RTKN2,2.42316761570847,1.99781525060924,15.1554632912133,7.60465689794224e-33,6.34892589498456e-31,64.0503213218515
ARHGAP11A,2.08355806455673,2.98484790679543,15.1221059548461,9.3788712693199e-33,7.78092395683012e-31,63.7700923462843
EZH2,2.10114305080226,3.34708254761491,15.1031494773584,1.05662532376503e-32,8.71121540361533e-31,63.6247997628649
PACSIN1,2.65152362316149,0.841607192953229,15.0192064560907,1.79188394056362e-32,1.46812056273135e-30,63.2229859658859
ENTPD7,1.53671059206921,3.39432131011673,14.994348709527,2.09546797682843e-32,1.70625420261382e-30,62.9736657114542
PLK4,1.94705990262129,2.49944495890135,14.9789766429469,2.30846988663075e-32,1.86816112113781e-30,62.943828771127
TRIP13,2.45727807097443,2.8266436940613,14.9429579498136,2.89644711800644e-32,2.32969719107457e-30,62.6834913231358
RAD54B,1.79514727339075,1.38532007440191,14.9173491311959,3.40370326285165e-32,2.68851794851953e-30,62.5899829602759
RNASEH2A,1.60187090342463,4.16132012532695,14.9384954771386,2.97904470638333e-32,2.37911499393779e-30,62.5475009794045
PPM1F,-1.48668708606143,5.72457075201633,-14.9377029533128,2.99395867632229e-32,2.37911499393779e-30,62.5440050153269
DONSON,1.41617521802757,3.44360417790436,14.9152069719589,3.44996950929133e-32,2.70884213077749e-30,62.4557232161823
TOP2A,3.70684666400876,4.87287559783953,14.908844735346,3.59112847168121e-32,2.80299264319212e-30,62.3693516659632
CDC6,2.95787367208305,2.85986103960798,14.8910691683553,4.01694145570175e-32,3.1169102789507e-30,62.3297541969831
TK1,2.88425502479818,4.44237722091536,14.8740785526,4.47115867948589e-32,3.44906749363149e-30,62.1310052467927
TIMELESS,1.64390674767133,4.84605363660335,14.830680583272,5.87887524429726e-32,4.50861879927472e-30,61.8384977140342
LRRC46,2.92673649936051,1.27473634383434,14.7736832450379,8.42373518151731e-32,6.42297634562976e-30,61.6670333980005
TNXB,-5.15833753908576,6.38828827016597,-14.7203185206515,1.179901700821e-31,8.89376190601704e-30,61.2892466604332
SLC35A2,1.27226403673967,5.14559295605946,14.7299949974548,1.10995165935418e-31,8.41458180375915e-30,61.2064237323935
DIAPH3,2.47921500921077,1.87423497294996,14.5965418421716,2.57982171382385e-31,1.93354705835514e-29,60.5602115824207
MAMDC2,-3.25684270183561,4.01078173426363,-14.5778297180645,2.90394378140559e-31,2.16417640793904e-29,60.457505024181
MAD2L1,2.12511344421469,3.31318567123989,14.5325837638595,3.86642316173555e-31,2.86528022058729e-29,60.0444960338437
KREMEN2,4.01065894585064,-0.448084543833754,14.4625655497341,6.02288958960636e-31,4.41377425424986e-29,59.699665874055
LMNB1,2.49065114032304,4.45247106648284,14.4657935265579,5.90102742103525e-31,4.3486286430657e-29,59.5480925262287
PRRT3,2.17220958909413,3.74223340611731,14.4164029580511,8.06838188414084e-31,5.88011190241447e-29,59.2913320180092
SPATA17,2.64170098626432,1.43499545548536,14.384226669575,9.8929917638306e-31,7.17024474487305e-29,59.2471812624139
SHCBP1,2.61096263618316,1.81359936277932,14.3497512948144,1.23090476835541e-30,8.8726037155061e-29,59.0298225848293
CDC25A,2.02649128109472,1.61584809244164,14.3369272817649,1.33515406408027e-30,9.57174851047977e-29,58.9420092830309
SRMS,3.30532470965926,1.23392058977056,14.3094695754943,1.58906374295067e-30,1.12092726381082e-28,58.7478086333693
WDR76,1.53540575252727,3.071857298162,14.3185751464362,1.49991056776295e-30,1.06947677293844e-28,58.7193011469003
EME1,2.73913576507223,0.857481737369312,14.2933406124883,1.7602083108325e-30,1.22204778043113e-28,58.6530091876015
AQP1,-2.93078592053958,8.03306754404423,-14.3131446828891,1.55245902434469e-30,1.10099392420058e-28,58.5918005614304
RABIF,1.35891676975966,4.0781136409751,14.3022010164467,1.66402466484263e-30,1.16756113584783e-28,58.5701406161672
CIT,2.03872368877311,3.36679042187166,14.2972924956358,1.71663955613005e-30,1.19810541719108e-28,58.5422023676334
PROS1,-2.35498713245663,5.27566419101844,-14.2664876713117,2.08707016615066e-30,1.44138966291588e-28,58.4026008538432
NUAK2,2.34447602047276,2.26988784362038,14.2449532846869,2.39260663843722e-30,1.64379552956382e-28,58.3213806240573
COL11A1,5.77766165641679,3.70752198784352,14.2361120450884,2.53066698833821e-30,1.72963876907613e-28,58.158916956055
CHAF1B,1.59747388328866,3.63500114370796,14.2238640156272,2.73520450418447e-30,1.85979807292254e-28,58.074546061103
MRAS,-2.83747643323437,6.14962145390055,-14.2052979395189,3.07725492574879e-30,2.08164460131037e-28,57.9559306394207
FANCD2,1.70316533229748,3.64893553913023,14.1325551939558,4.88361139845224e-30,3.28672030392773e-28,57.5199658462032
BLM,1.91504733744034,2.0254901576645,14.0315864886515,9.27564343195059e-30,6.17954608640708e-28,56.9876414978102
CST4,7.24816736770872,-3.98346154714454,14.1216951104125,5.23234693950216e-30,3.50354763852655e-28,56.9622980317258
E2F2,2.69696860892919,1.69648553468987,14.0242146065815,9.72061933297352e-30,6.4434517397615e-28,56.9431710947723
GRM4,6.20939352326425,-0.527995965325683,14.007713544996,1.07956516961981e-29,7.08484783704223e-28,56.8782340842103
CNIH2,2.49891282792912,0.892201352666948,13.9795445095511,1.29130573831311e-29,8.39094285423067e-28,56.6797418023512
PAFAH1B3,2.39885050794918,5.19503169526564,14.0107003511443,1.05926026604789e-29,6.98635108471884e-28,56.6517103776041
DSN1,1.20995566521559,4.35252764809468,13.9806507646357,1.28225435546675e-29,8.37337485295144e-28,56.5115722440025
TSHZ2,-2.95385512066278,5.14766948848835,-13.925720179339,1.81841913739445e-29,1.17582190398873e-27,56.2859285107919
ITIH5,-4.41933412398021,6.07327330117636,-13.8803266790633,2.42726837487483e-29,1.5542765598531e-27,55.9944192614813
AMOTL1,-2.10833109781307,6.29252237359299,-13.8894139800602,2.29089942699481e-29,1.47410996787749e-27,55.8942641876465
CACHD1,-2.39132748859767,4.9719752388746,-13.8604899633595,2.75384814592787e-29,1.75487975328186e-27,55.8110286365231
CILP2,3.08990623630996,2.5777718929331,13.8349825348534,3.23925602521857e-29,2.05428010714703e-27,55.6720262095984
IL11RA,-2.00003497579451,3.94911289131363,-13.8121765273914,3.74536339181237e-29,2.35262326197129e-27,55.6333516727957
HOXA4,-2.93099629539409,0.910303722971848,-13.8249711103234,3.45240157184577e-29,2.17897747053673e-27,55.5642553598388
TMEM220,-2.4355863793514,2.81604947659396,-13.7980681433295,4.09734336300563e-29,2.56151925599086e-27,55.5589747730369
TNS1,-2.86579693144491,8.67113463191455,-13.7592393541389,5.24661587065962e-29,3.26453348820146e-27,55.0856963544609
SSPN,-1.86373709332917,5.67913680148328,-13.7469537623848,5.67360950080137e-29,3.5136423908484e-27,55.0059910871175
MKI67,3.21138644003869,4.59386538085799,13.7218422100575,6.65767655199246e-29,4.10380427090339e-27,54.8509748509581
TGFBR2,-2.46452147202165,7.78006720985524,-13.7208192851429,6.70119920860156e-29,4.11141947724015e-27,54.810573024742
TRAIP,1.56081685664778,2.05584120621023,13.6721827758459,9.13528689786078e-29,5.5788689569297e-27,54.7510516951335
ZWILCH,1.29918717465084,3.86793584571107,13.6703465404792,9.24280003937492e-29,5.61851499167717e-27,54.5795394244286
HOXA5,-3.13671144443573,2.76019187992114,-13.6333223134885,1.17023128655959e-28,7.01660040954887e-27,54.5264318578204
LRIG3,-2.12517457044055,5.05982838372307,-13.6546086600554,1.02177882481446e-28,6.18269930189339e-27,54.4992239008557
COG2,1.16873042770035,5.57567692078745,13.647583372229,1.06856305865536e-28,6.4362626971337e-27,54.3508824293391
LIFR,-2.77864375046656,6.41604525040968,-13.6131536631707,1.33076034066355e-28,7.90723407824003e-27,54.182364252452
CYYR1,-2.36039511075003,5.08856183317825,-13.5856372712252,1.58590628916608e-28,9.38102684322408e-27,54.0779644936111
FAM13A,-2.55623613863977,5.45740705772661,-13.5745697211997,1.70184815159078e-28,1.0021910253408e-26,53.9854417764511
PPEF1,4.05922074570893,-0.490100048901114,13.5475249079421,2.02213018034519e-28,1.18550752039704e-26,53.9530225447602
KIAA1211,3.50910266183774,0.559804405022184,13.5148718119226,2.49024310702539e-28,1.44708356056264e-26,53.7651841542153
CCNF,1.66970030876128,4.0806596192665,13.5219304621263,2.38062776523287e-28,1.38950711730915e-26,53.5980655175022
CTXN1,2.73092419304957,3.42366173089992,13.501814162102,2.70650777419263e-28,1.56585719514803e-26,53.4890184113067
CST1,7.79464877650035,-2.26637170847132,13.4692202998392,3.33195890551594e-28,1.91095086620264e-26,53.4804465299389
ARTN,3.72555157430783,0.654265546361796,13.4457292986661,3.87064086603757e-28,2.20075964068542e-26,53.3430925522143
TMEM63B,1.16349906283872,5.74344374994488,13.4774383912546,3.16178796860848e-28,1.82127271152465e-26,53.2528824904216
SIRPA,-2.00094042473877,6.51023522957974,-13.4539572310553,3.67270477384849e-28,2.09725751826127e-26,53.1260932419942
